key;kyocera_modell;anzahl_gruppen;anzahl_main_parts;anzahl_toner_wtb;anzahl_sonstige;gesamt_teile
180;TASKalfa 180;2;4;1;0;5
220;TASKalfa 220;2;4;1;0;5
221;TASKalfa 221;2;4;1;0;5
250ci;TASKalfa 250ci;2;9;5;0;14
265ci;TASKalfa 265ci;2;8;5;0;13
266ci;TASKalfa 266ci;2;8;5;0;13
300ci;TASKalfa 300ci;2;9;5;0;14
300i;TASKalfa 300i;2;5;2;0;7
306ci;TASKalfa 306ci;2;10;5;0;15
307ci;TASKalfa 307ci;2;10;5;0;15
308ci;TASKalfa 308ci;2;10;5;0;15
350ci;TASKalfa 350ci;2;10;5;0;15
351ci;TASKalfa 351ci;2;9;5;0;14
352ci;TASKalfa 352ci;2;10;5;0;15
356ci;TASKalfa 356ci;2;11;5;0;16
358ci;TASKalfa 358ci;2;12;5;0;17
400ci;TASKalfa 400ci;2;9;5;0;14
406ci;TASKalfa 406ci;2;11;5;0;16
408ci;TASKalfa 408ci;2;12;5;0;17
420i;TASKalfa 420i;2;4;2;0;6
500ci;TASKalfa 500ci;2;9;5;0;14
508ci;TASKalfa 508ci;2;12;5;0;17
520i;TASKalfa 520i;2;4;2;0;6
552ci;TASKalfa 552ci;2;9;5;0;14
620;TASKalfa 620;2;2;1;0;3
820;TASKalfa 820;2;2;1;0;3
1800;TASKalfa 1800;2;4;2;0;6
1801;TASKalfa 1801;2;4;2;0;6
2020;TASKalfa 2020;2;4;2;0;6
2021;TASKalfa 2021;2;4;2;0;6
2200;TASKalfa 2200;2;4;2;0;6
2201;TASKalfa 2201;2;4;2;0;6
2320;TASKalfa 2320;2;4;2;0;6
2321;TASKalfa 2321;2;4;2;0;6
2550ci;TASKalfa 2550ci;2;10;5;0;15
2551ci;TASKalfa 2551ci;2;10;5;0;15
2552ci;TASKalfa 2552ci;2;12;5;0;17
2553ci;TASKalfa 2553ci;2;12;5;0;17
2554ci;TASKalfa 2554ci;2;12;5;0;17
3010i;TASKalfa 3010i;3;4;2;2;8
3011i;TASKalfa 3011i;2;4;2;0;6
3050ci;TASKalfa 3050ci;2;11;5;0;16
3051ci;TASKalfa 3051ci;2;11;5;0;16
3212i;TASKalfa 3212i;2;5;1;0;6
3252ci;TASKalfa 3252ci;2;12;5;0;17
3253ci;TASKalfa 3253ci;2;12;5;0;17
3500i;TASKalfa 3500i;2;4;2;0;6
3501i;TASKalfa 3501i;2;4;2;0;6
3510i;TASKalfa 3510i;3;4;2;2;8
3511i;TASKalfa 3511i;2;4;2;0;6
3550ci;TASKalfa 3550ci;2;11;5;0;16
3551ci;TASKalfa 3551ci;2;11;5;0;16
3554ci;TASKalfa 3554ci;2;12;5;0;17
4002i;TASKalfa 4002i;2;6;2;0;8
4012i;TASKalfa 4012i;2;5;1;0;6
4052ci;TASKalfa 4052ci;2;10;5;0;15
4053ci;TASKalfa 4053ci;2;10;5;0;15
4054ci;TASKalfa 4054ci;2;10;5;0;15
4500i;TASKalfa 4500i;2;4;2;0;6
4501i;TASKalfa 4501i;2;4;2;0;6
4550ci;TASKalfa 4550ci;2;11;5;0;16
4551ci;TASKalfa 4551ci;2;11;5;0;16
5002i;TASKalfa 5002i;2;6;2;0;8
5003i;TASKalfa 5003i;2;6;2;0;8
5004i;TASKalfa 5004i;2;6;2;0;8
5052ci;TASKalfa 5052ci;2;10;5;0;15
5053ci;TASKalfa 5053ci;2;10;5;0;15
5054ci;TASKalfa 5054ci;2;10;5;0;15
5500i;TASKalfa 5500i;2;4;2;0;6
5501i;TASKalfa 5501i;2;4;2;0;6
5550ci;TASKalfa 5550ci;2;11;5;0;16
5551ci;TASKalfa 5551ci;2;11;5;0;16
6002i;TASKalfa 6002i;2;6;2;0;8
6003i;TASKalfa 6003i;2;6;2;0;8
6004i;TASKalfa 6004i;2;6;2;0;8
6052ci;TASKalfa 6052ci;2;10;5;0;15
6053ci;TASKalfa 6053ci;2;10;5;0;15
6054ci;TASKalfa 6054ci;2;10;5;0;15
6500i;TASKalfa 6500i;2;5;2;0;7
6501i;TASKalfa 6501i;2;5;2;0;7
6550ci;TASKalfa 6550ci;2;13;5;0;18
6551ci;TASKalfa 6551ci;2;13;5;0;18
7002i;TASKalfa 7002i;2;5;2;0;7
7003i;TASKalfa 7003i;2;5;2;0;7
7004i;TASKalfa 7004i;2;6;2;0;8
7052ci;TASKalfa 7052ci;2;10;5;0;15
7054ci;TASKalfa 7054ci;2;10;5;0;15
7353ci;TASKalfa 7353ci;2;10;9;0;19
7550ci;TASKalfa 7550ci;2;13;5;0;18
7551ci;TASKalfa 7551ci;2;13;5;0;18
8000i;TASKalfa 8000i;2;5;2;0;7
8001i;TASKalfa 8001i;2;5;2;0;7
8002i;TASKalfa 8002i;2;5;2;0;7
8003i;TASKalfa 8003i;2;5;2;0;7
8052ci;TASKalfa 8052ci;2;10;5;0;15
8353ci;TASKalfa 8353ci;2;10;9;0;19
