id;beginn;vertrieb_eingestellt;utax;kyocera;produktname;code;aliases
180;10-2009;True;CD 1118;TASKalfa 180;Orion GDI;2KK;CD 1118 | UTAX CD 1118 | DC 2118 | TASKalfa 180 | Kyocera TASKalfa 180 | 180 | Orion GDI | 2KK | CD1118 | UTAXCD1118 | DC2118 | TASKalfa180 | KyoceraTASKalfa180 | OrionGDI
1800;01-2014;True;1855x;TASKalfa 1800;Kizuna Basic;2NF;1855x | UTAX 1855x | TASKalfa 1800 | Kyocera TASKalfa 1800 | 1800 | Kizuna Basic | 2NF | UTAX1855x | TASKalfa1800 | KyoceraTASKalfa1800 | KizunaBasic
181;10-2009;True;CD 1218;TASKalfa 181;Orion;2KJ;CD 1218 | UTAX CD 1218 | DC 2218 | TASKalfa 181 | Kyocera TASKalfa 181 | 181 | Orion | 2KJ | CD1218 | UTAXCD1218 | DC2218 | TASKalfa181 | KyoceraTASKalfa181
2201;01-2014;True;2256x;TASKalfa 2201;Kizuna Adv.;2NG;2256x | UTAX 2256x | TASKalfa 2201 | Kyocera TASKalfa 2201 | 2201 | Kizuna Adv. | 2NG | UTAX2256x | TASKalfa2201 | KyoceraTASKalfa2201 | KizunaAdv.
221;11-2009;True;CD 1222;TASKalfa 221;Orion;2KH;CD 1222 | UTAX CD 1222 | DC 2222 | TASKalfa 221 | Kyocera TASKalfa 221 | 221 | Orion | 2KH | CD1222 | UTAXCD1222 | DC2222 | TASKalfa221 | KyoceraTASKalfa221
2420w;07-2011;True;XC 9124;TASKalfa 2420w;;;XC 9124 | UTAX XC 9124 | CX 8124 | TASKalfa 2420w | Kyocera TASKalfa 2420w | 2420w | XC9124 | UTAXXC9124 | CX8124 | TASKalfa2420w | KyoceraTASKalfa2420w
250ci;01-2009;True;CDC 1725;TASKalfa 250ci;Saturn;2JZ;CDC 1725 | UTAX CDC 1725 | DCC 2725 | TASKalfa 250ci | Kyocera TASKalfa 250ci | 250ci | Saturn | 2JZ | CDC1725 | UTAXCDC1725 | DCC2725 | TASKalfa250ci | KyoceraTASKalfa250ci
2550ci;05-2012;True;2550ci;TASKalfa 2550ci;Jupiter;2MV;2550ci | UTAX 2550ci | TASKalfa 2550ci | Kyocera TASKalfa 2550ci | Jupiter | 2MV | UTAX2550ci | TASKalfa2550ci | KyoceraTASKalfa2550ci
2551ci;02-2014;True;2500ci;TASKalfa 2551ci;Jupiter 2;2NP;2500ci | UTAX 2500ci | TASKalfa 2551ci | Kyocera TASKalfa 2551ci | 2551ci | Jupiter 2 | 2NP | UTAX2500ci | TASKalfa2551ci | KyoceraTASKalfa2551ci | Jupiter2
2552ci;09-2016;True;2506ci;TASKalfa 2552ci;Iris Color;2L7;2506ci | UTAX 2506ci | TASKalfa 2552ci | Kyocera TASKalfa 2552ci | 2552ci | Iris Color | 2L7 | UTAX2506ci | TASKalfa2552ci | KyoceraTASKalfa2552ci | IrisColor
2553ci;04-2019;True;2507ci;TASKalfa 2553ci;Iris 2 Color;2VH;2507ci | UTAX 2507ci | TASKalfa 2553ci | Kyocera TASKalfa 2553ci | 2553ci | Iris 2 Color | 2VH | UTAX2507ci | TASKalfa2553ci | KyoceraTASKalfa2553ci | Iris2Color
