kyocera_modell;key;main_parts;toner_wtb;modell_status;utax;beginn;produktname;code
ECOSYS M2030dn;m2030dn;5;1;aktualisiert;P-3020MFP;01-2014;E-Discovery 2.5;2PK
ECOSYS M2035dn;m2035dn;5;1;aktualisiert;P-3520MFP;01-2014;E-Discovery 2.5;2PM
ECOSYS M2040dn;m2040dn;5;1;aktualisiert;P-4020MFP;01-2017;Libra MFP;2S3
ECOSYS M2135dn;m2135dn;5;1;aktualisiert;P-3521MFP;01-2017;Libra MFP;2S0
ECOSYS M2530dn;m2530dn;5;1;aktualisiert;P-3025MFP;01-2014;E-Discovery 2.5;2PL
ECOSYS M2535dn;m2535dn;5;1;aktualisiert;P-3525MFP;01-2014;Discovery 2.5;2PN
ECOSYS M2540dn;m2540dn;5;1;neu;;;;
ECOSYS M2635dn;m2635dn;5;1;neu;;;;
ECOSYS M2640idw;m2640idw;5;1;aktualisiert;P-4026iwMFP;01-2017;Libra MFP TSI;2S5
ECOSYS M2735dw;m2735dw;5;1;aktualisiert;P-3527wMFP;01-2017;Libra MFP;2SG
ECOSYS M3040dn;m3040dn;6;2;aktualisiert;P-4030MFP;03-2014;Polaris;2P0
ECOSYS M3040idn;m3040idn;6;2;aktualisiert;P-4030iMFP;03-2014;Polaris;2NY
ECOSYS M3145dn;m3145dn;6;2;aktualisiert;P-4531MFP;06-2018;Polaris E;2TF
ECOSYS M3145idn;m3145idn;6;2;aktualisiert;P-4531iMFP;06-2018;Polaris E;2V2
ECOSYS M3540dn;m3540dn;6;2;aktualisiert;P-4035MFP;03-2014;Polaris;2NZ
ECOSYS M3540idn;m3540idn;6;2;aktualisiert;P-4035iMFP;03-2014;Polaris;2NX
ECOSYS M3550idn;m3550idn;6;2;aktualisiert;P-5035iMFP;03-2014;Polaris;2NM
ECOSYS M3560idn;m3560idn;6;2;aktualisiert;P-6035iMFP;03-2014;Polaris;2P6
ECOSYS M3645dn;m3645dn;6;2;aktualisiert;P-4536MFP;06-2018;Polaris E;2TG
ECOSYS M3655idn;m3655idn;6;2;aktualisiert;P-5536iMFP;06-2018;Polaris E;2TB
ECOSYS M3660idn;m3660idn;6;2;aktualisiert;P-6036iMFP;06-2018;Polaris E;2TA
ECOSYS M3860idn;m3860idn;6;5;aktualisiert;P-6038iMFP;06-2020;Polaris Eplus;2X9
ECOSYS M4125idn;m4125idn;5;2;neu;;;;
ECOSYS M4132idn;m4132idn;5;2;neu;;;;
ECOSYS M5521cdn;m5521cdn;8;8;neu;;;;
ECOSYS M5521cdW;m5521cdw;8;8;aktualisiert;P-C2155wMFP;01-2017;Sirius MFP LCD;2R9
ECOSYS M5526cdn;m5526cdn;8;4;neu;;;;
ECOSYS M6026cdn;m6026cdn;9;5;aktualisiert;P-C2660MFP;01-2014;E-Gemini L;2PV
ECOSYS M6030cdn;m6030cdn;10;5;aktualisiert;P-C3060MFP;06-2015;Mebius MFP;2NV
ECOSYS M6035cidn;m6035cidn;10;5;aktualisiert;P-C3560iMFP;06-2015;Mebius MFP;2PB
ECOSYS M6230cidn;m6230cidn;10;5;aktualisiert;P-C3062iMFP;03-2018;Mebius E MFP;2TY
ECOSYS M6235cidn;m6235cidn;10;5;aktualisiert;P-C3562iMFP;03-2018;Mebius E MFP;2V0
ECOSYS M6526cidn;m6526cidn;9;5;aktualisiert;P-C2665iMFP;01-2014;E-GeminiHyPAS;2PY
ECOSYS M6530cidn;m6530cidn;10;5;neu;;;;
ECOSYS M6630cidn;m6630cidn;10;5;aktualisiert;P-C3066iMFP;03-2018;Mebius E MFP;2TZ
ECOSYS M6635cidn;m6635cidn;10;5;aktualisiert;P-C3566iMFP;03-2018;Mebius E MFP;2V1
ECOSYS M8124cidn;m8124cidn;10;5;neu;;;;
ECOSYS M8130cidn;m8130cidn;10;5;neu;;;;
ECOSYS MA2100cwfx;ma2100cwfx;8;8;neu;;;;
ECOSYS MA2101cwfx;ma2101cwfx;8;8;neu;;;;
ECOSYS MA2600cwfx;ma2600cwfx;8;12;neu;;;;
ECOSYS MA3500cifx;ma3500cifx;10;5;aktualisiert;P-C3567iMFP;10-2023;Virgo MFP;2Z3
ECOSYS MA3500fx;ma3500fx;4;1;neu;;;;
ECOSYS MA3501wfx;ma3501wfx;4;1;neu;;;;
ECOSYS MA4000cifx;ma4000cifx;10;5;aktualisiert;P-C4067iMFP;01-2024;Virgo MFP;2Z5
ECOSYS MA4000wifx;ma4000wifx;4;2;aktualisiert;P-4027iwMFP;11-2024;Libra MFP 2.0;C1D
ECOSYS MA4500fx;ma4500fx;6;2;aktualisiert;P-4539MFP;10-2023;Polaris Next;C12
ECOSYS MA4500ifx;ma4500ifx;6;2;aktualisiert;P-4539iMFP;10-2023;Polaris Next;C10
ECOSYS MA4500x;ma4500x;6;2;aktualisiert;P-4532MFP;10-2023;Polaris Next;C13
ECOSYS MA5500ifx;ma5500ifx;6;2;aktualisiert;P-5539iMFP;10-2023;Polaris Next;C0Z
ECOSYS MA6000ifx;ma6000ifx;6;2;aktualisiert;P-6039iMFP;10-2023;Polaris Next;C0V
ECOSYS MZ3201ix;mz3201ix;5;3;neu;;;;
ECOSYS P2035d;p2035d;5;1;aktualisiert;P-3520D;01-2014;E-Dolphin;2PG
ECOSYS P2040dn;p2040dn;5;1;aktualisiert;P-4020DN;01-2017;Libra Printer;2RX
ECOSYS P2040dw;p2040dw;5;1;aktualisiert;P-4020DW;01-2017;Libra Printer;2RY
ECOSYS P2135dn;p2135dn;5;1;aktualisiert;P-3521DN;01-2014;E-Dolphin Net;2LZ
