kyocera_modell;key;grund
ECOSYS M2540dn;m2540dn;new_no_utax
ECOSYS M2635dn;m2635dn;new_no_utax
ECOSYS M4125idn;m4125idn;new_no_utax
ECOSYS M4132idn;m4132idn;new_no_utax
ECOSYS M5521cdn;m5521cdn;new_no_utax
ECOSYS M5526cdn;m5526cdn;new_no_utax
ECOSYS M6530cidn;m6530cidn;new_no_utax
ECOSYS M8124cidn;m8124cidn;new_no_utax
ECOSYS M8130cidn;m8130cidn;new_no_utax
ECOSYS MA2100cwfx;ma2100cwfx;new_no_utax
ECOSYS MA2101cwfx;ma2101cwfx;new_no_utax
ECOSYS MA2600cwfx;ma2600cwfx;new_no_utax
ECOSYS MA3500fx;ma3500fx;new_no_utax
ECOSYS MA3501wfx;ma3501wfx;new_no_utax
ECOSYS MZ3201ix;mz3201ix;new_no_utax
ECOSYS P2235dn;p2235dn;new_no_utax
ECOSYS P4040DN;p4040dn;new_no_utax
ECOSYS P4140dn;p4140dn;new_no_utax
ECOSYS P5021cdn;p5021cdn;new_no_utax
ECOSYS P5021cdw;p5021cdw;new_no_utax
ECOSYS P5026cdn;p5026cdn;new_no_utax
ECOSYS P8060cdn;p8060cdn;new_no_utax
ECOSYS PA2100cwx;pa2100cwx;new_no_utax
ECOSYS PA2101cwx;pa2101cwx;new_no_utax
ECOSYS PA2600cwx;pa2600cwx;new_no_utax
ECOSYS PA3500wx;pa3500wx;new_no_utax
ECOSYS PA4500cx;pa4500cx;new_no_utax
